INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
Лимонад в порошке	Фруктовый салат	Горячий шоколад	Пудинг быстрого приготовления	Какую из этих смесей легче всего разделить?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--6566406b1e0df1629af58822	00028677a5--656635d172d52b5a0213fee0	00028677a5--6566406b1e0df1629af58822	00028677a5--6566406b1e0df1629af5881d	f64630b582a9fc4963ec5d8bbc75faab	APPROVED	2023-11-28T19:32:59.820	2023-11-28T19:34:41.717	2023-11-28T19:34:41.717	0.0320000000
вращение Солнца вокруг Земли	вращение Земли вокруг Луны	вращение Луны вокруг Земли	вращение Земли вокруг Солнца	В нашей солнечной системе происходит много типов движения. Какой тип движения описывает один земной год?	D				https://platform.toloka.ai/task/42366885/00028677a5--6566406b1e0df1629af58822	00028677a5--656635e893eb880e6311dbc9	00028677a5--6566406b1e0df1629af58822	00028677a5--6566406b1e0df1629af5881d	f64630b582a9fc4963ec5d8bbc75faab	APPROVED	2023-11-28T19:32:59.820	2023-11-28T19:34:41.717	2023-11-28T19:34:41.717	0.0320000000
скорость течения в реке	влажность почвы	глубина течений в океане	влажность воздуха	Студент смотрит прогноз погоды по местному телевидению в Санкт-Петербурге. Что из следующего, скорее всего, будет включено в этот прогноз погоды?	D				https://platform.toloka.ai/task/42366885/00028677a5--6566406bed57be7c6161c4fd	00028677a5--656635e893eb880e6311db72	00028677a5--6566406bed57be7c6161c4fd	00028677a5--6566406bed57be7c6161c4ef	24f4d60141079f7e5f5d905ad5786a86	APPROVED	2023-11-28T19:32:59.174	2023-11-28T19:33:52.910	2023-11-28T19:33:52.910	0.0300000000
вода, текущая в ручье	отложения, смывающиеся в залив	ливень, выветривающий скалу	землетрясение, сотрясающее землю	Природные процессы вызывают быстрые и медленные изменения поверхности Земли. Какое событие наиболее быстро вызывает изменения на поверхности Земли?	D				https://platform.toloka.ai/task/42366885/00028677a5--6566406bed57be7c6161c4fd	00028677a5--656635e793eb880e6311da74	00028677a5--6566406bed57be7c6161c4fd	00028677a5--6566406bed57be7c6161c4ef	24f4d60141079f7e5f5d905ad5786a86	APPROVED	2023-11-28T19:32:59.174	2023-11-28T19:33:52.910	2023-11-28T19:33:52.910	0.0300000000
Вакуоль	Хлоропласт	Клеточная стенка	Ядро	Какая часть растительной клетки отвечает за управление деятельностью других частей клетки?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--6566406bed57be7c6161c4fd	00028677a5--656635d172d52b5a0213fed2	00028677a5--6566406bed57be7c6161c4fd	00028677a5--6566406bed57be7c6161c4ef	24f4d60141079f7e5f5d905ad5786a86	APPROVED	2023-11-28T19:32:59.174	2023-11-28T19:33:52.910	2023-11-28T19:33:52.910	0.0300000000
Солнце летом греет сильнее	Северное полушарие наклонено от Солнца зимой	Северное полушарие ближе к Солнцу зимой	Солнце летом движется за горизонт	Зимой в России световой день меньше, чем летом. Какое утверждение лучше всего объясняет, почему возникает эта разница?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--6566406bed57be7c6161c525	00028677a5--656635d172d52b5a0213fec6	00028677a5--6566406bed57be7c6161c525	00028677a5--6566406bed57be7c6161c521	c26657c4d477952e55674881b7e0e5e0	APPROVED	2023-11-28T19:32:59.892	2023-11-28T19:33:39.919	2023-11-28T19:33:39.919	0.0320000000
слух	прикосновение	вкус	запах	Какое чувство используется для определения текстуры объекта?	B				https://platform.toloka.ai/task/42366885/00028677a5--6566406bed57be7c6161c525	00028677a5--656635e793eb880e6311db02	00028677a5--6566406bed57be7c6161c525	00028677a5--6566406bed57be7c6161c521	c26657c4d477952e55674881b7e0e5e0	APPROVED	2023-11-28T19:32:59.892	2023-11-28T19:33:39.919	2023-11-28T19:33:39.919	0.0320000000
растения	ветер	вода	солнце	Все живые существа нуждаются в энергии, чтобы выжить. Что является основным источником энергии для всего живого?	D				https://platform.toloka.ai/task/42366885/00028677a5--6566406bed57be7c6161c525	00028677a5--656635eb93eb880e6311dcf8	00028677a5--6566406bed57be7c6161c525	00028677a5--6566406bed57be7c6161c521	c26657c4d477952e55674881b7e0e5e0	APPROVED	2023-11-28T19:32:59.892	2023-11-28T19:33:39.919	2023-11-28T19:33:39.919	0.0320000000
метели случаются чаще на больших высотах	трение с атмосферой вызывает образование льда	влага снаружи самолета замерзает из-за более холодного воздуха на больших высотах	вода испаряется быстрее на больших высотах, в результате чего образуются кристаллы льда	Когда самолет поднимается в небо, пилот замечает кристаллы льда, образующиеся на лобовом стекле. Это происходит потому, что	C				https://platform.toloka.ai/task/42366885/00028677a5--6566406c72d52b5a0215aa08	00028677a5--656635e793eb880e6311da9a	00028677a5--6566406c72d52b5a0215aa08	00028677a5--6566406c72d52b5a0215aa06	fa780fa22cad66c3cc707fb919c65f32	APPROVED	2023-11-28T19:33:00.150	2023-11-28T19:33:48.193	2023-11-28T19:33:48.193	0.0320000000
Солнце летом греет сильнее	Северное полушарие наклонено от Солнца зимой	Северное полушарие ближе к Солнцу зимой	Солнце летом движется за горизонт	Зимой в России световой день меньше, чем летом. Какое утверждение лучше всего объясняет, почему возникает эта разница?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--6566406c72d52b5a0215aa08	00028677a5--656635d172d52b5a0213fec6	00028677a5--6566406c72d52b5a0215aa08	00028677a5--6566406c72d52b5a0215aa06	fa780fa22cad66c3cc707fb919c65f32	APPROVED	2023-11-28T19:33:00.150	2023-11-28T19:33:48.193	2023-11-28T19:33:48.193	0.0320000000
Секундомер	Термометр	Увеличительное стекло	Мерный стакан	Костя изучает божьих коровок в саду. Что из этого лучше всего поможет Косте подсчитать пятна на божьей коровке?	C				https://platform.toloka.ai/task/42366885/00028677a5--6566406c72d52b5a0215aa08	00028677a5--656635eb93eb880e6311dd20	00028677a5--6566406c72d52b5a0215aa08	00028677a5--6566406c72d52b5a0215aa06	fa780fa22cad66c3cc707fb919c65f32	APPROVED	2023-11-28T19:33:00.150	2023-11-28T19:33:48.193	2023-11-28T19:33:48.193	0.0320000000
газообразного на жидкое	жидкого на твердое	твердого на жидкое	твердого на газообразное	Когда кубик льда тает, его материальное состояние меняется с	C	C			https://platform.toloka.ai/task/42366885/00028677a5--6566406c72d52b5a0215aa0d	00028677a5--656635d172d52b5a0213fec8	00028677a5--6566406c72d52b5a0215aa0d	00028677a5--6566406c72d52b5a0215aa09	248e33b17acca08daa171632c53a9f3c	APPROVED	2023-11-28T19:33:00.223	2023-11-28T19:33:29.657	2023-11-28T19:33:29.657	0.0300000000
гибернации	маскировки	миграции	перемещения	С приближением зимы мех песца меняет цвет с коричневого на белый. Это пример	B				https://platform.toloka.ai/task/42366885/00028677a5--6566406c72d52b5a0215aa0d	00028677a5--656635ea93eb880e6311dc78	00028677a5--6566406c72d52b5a0215aa0d	00028677a5--6566406c72d52b5a0215aa09	248e33b17acca08daa171632c53a9f3c	APPROVED	2023-11-28T19:33:00.223	2023-11-28T19:33:29.657	2023-11-28T19:33:29.657	0.0300000000
растения	ветер	вода	солнце	Все живые существа нуждаются в энергии, чтобы выжить. Что является основным источником энергии для всего живого?	D				https://platform.toloka.ai/task/42366885/00028677a5--6566406c72d52b5a0215aa0d	00028677a5--656635eb93eb880e6311dcf8	00028677a5--6566406c72d52b5a0215aa0d	00028677a5--6566406c72d52b5a0215aa09	248e33b17acca08daa171632c53a9f3c	APPROVED	2023-11-28T19:33:00.223	2023-11-28T19:33:29.657	2023-11-28T19:33:29.657	0.0300000000
лист	цветок	корень	стебель	Какая часть растения больше всего отвечает за использование энергии Солнца для производства пищи для растения?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--6566406cac2f373192122c1f	00028677a5--656635d172d52b5a0213feb2	00028677a5--6566406cac2f373192122c1f	00028677a5--6566406cac2f373192122c1d	b9dda89d124bd9d7ef87973957aba3df	APPROVED	2023-11-28T19:33:00.235	2023-11-28T19:33:34.593	2023-11-28T19:33:34.593	0.0320000000
